latitude,longitude,polarity
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
