latitude,longitude
53.474588,-2.25325
53.474697,-2.253828
53.477988,-2.235034
53.474752,-2.23649
53.471502,-2.299082
53.471553,-2.298985
53.483232,-2.224119
53.494505,-2.203327
53.494505,-2.203327
53.45369,-2.305487
53.456746,-2.312622
53.482597,-2.223898
53.474472,-2.246666
53.482597,-2.223898
53.4827,-2.224928
53.482597,-2.223898
53.473475,-2.261798
53.473286,-2.262445
53.4827,-2.224928
53.483057,-2.224348
53.474166,-2.254723
53.475193,-2.241725
53.476069,-2.238373
53.478511,-2.234131
53.479813,-2.231342
53.480208,-2.230503
53.481933,-2.229078
53.474652,-2.243
53.474333,-2.244109
53.474308,-2.245487
53.474372,-2.247828
53.482995,-2.22324
53.466616,-2.277281
53.450197,-2.216324
53.450197,-2.216324
53.450197,-2.216324
53.450197,-2.216324
53.455333,-2.216345
53.455333,-2.216345
53.455333,-2.216345
53.455333,-2.216345
53.455333,-2.216345
53.455333,-2.216345
53.462406,-2.223328
53.463351,-2.224808
53.463351,-2.224808
53.463351,-2.224808
53.465683,-2.2266
53.465683,-2.2266
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.468479,-2.226688
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
53.471621,-2.224692
